params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 10}",0.752526,0.064084,0.690808,0.074696,0.860923,0.084619,0.532927,0.124049,0.769717,0.065216,0.775866,0.064633,0.551731,0.129265
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 20}",0.752526,0.064084,0.690808,0.074696,0.860923,0.084619,0.532927,0.124049,0.769717,0.065216,0.775866,0.064633,0.551731,0.129265
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 30}",0.752526,0.064084,0.690808,0.074696,0.860923,0.084619,0.532927,0.124049,0.769717,0.065216,0.775866,0.064633,0.551731,0.129265
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 40}",0.752526,0.064084,0.690808,0.074696,0.860923,0.084619,0.532927,0.124049,0.769717,0.065216,0.775866,0.064633,0.551731,0.129265
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 50}",0.752526,0.064084,0.690808,0.074696,0.860923,0.084619,0.532927,0.124049,0.769717,0.065216,0.775866,0.064633,0.551731,0.129265
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 60}",0.751097,0.064442,0.688586,0.07505,0.860923,0.084619,0.530817,0.124653,0.76848,0.065492,0.774754,0.064914,0.549509,0.129829
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 70}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 80}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 90}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 100}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 110}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 120}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 130}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 140}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 150}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 160}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 170}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 180}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 190}",0.749648,0.063877,0.686313,0.072777,0.860923,0.084619,0.528432,0.124389,0.767315,0.065269,0.773618,0.064801,0.547236,0.129601
