params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 10}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 20}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 30}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 40}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 50}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 60}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 70}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 80}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 90}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 100}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 110}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 120}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 130}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 140}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 150}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 160}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 170}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 180}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 190}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 200}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 210}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 220}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 230}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 240}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 250}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 260}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 270}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 280}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 290}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 300}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 10}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 20}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 30}",0.851493,0.043435,0.893831,0.044071,0.794329,0.079945,0.696764,0.090257,0.841313,0.048493,0.84408,0.046529,0.68816,0.093058
"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 40}",0.854585,0.041755,0.899188,0.042514,0.794329,0.079945,0.703164,0.086629,0.843791,0.047192,0.846759,0.045043,0.693518,0.090086
"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 50}",0.854585,0.041755,0.899188,0.042514,0.794329,0.079945,0.703164,0.086629,0.843791,0.047192,0.846759,0.045043,0.693518,0.090086
"{'classifier__learning_rate': 0.01, 'classifier__n_estimators': 60}",0.855616,0.042149,0.900974,0.042586,0.794329,0.079945,0.705251,0.08737,0.844647,0.047563,0.847652,0.045405,0.695303,0.090809
