params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.667805,0.061241,0.654444,0.068721,0.690462,0.119266,0.334005,0.132374,0.668342,0.071772,0.672453,0.068691,0.344906,0.137383
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.667805,0.061241,0.654444,0.068721,0.690462,0.119266,0.334005,0.132374,0.668342,0.071772,0.672453,0.068691,0.344906,0.137383
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.67501,0.071647,0.661465,0.083962,0.697846,0.100685,0.348256,0.140657,0.676863,0.07408,0.679655,0.072884,0.359311,0.145768
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.67501,0.071647,0.661465,0.083962,0.697846,0.100685,0.348256,0.140657,0.676863,0.07408,0.679655,0.072884,0.359311,0.145768
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.674886,0.05954,0.606869,0.081821,0.793077,0.096753,0.389173,0.115356,0.690514,0.060017,0.699973,0.059776,0.399946,0.119552
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.674886,0.05954,0.606869,0.081821,0.793077,0.096753,0.389173,0.115356,0.690514,0.060017,0.699973,0.059776,0.399946,0.119552
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.696605,0.069076,0.638788,0.082841,0.797231,0.079462,0.421582,0.12955,0.712121,0.068375,0.718009,0.06752,0.436019,0.13504
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.696605,0.069076,0.638788,0.082841,0.797231,0.079462,0.421582,0.12955,0.712121,0.068375,0.718009,0.06752,0.436019,0.13504
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.672029,0.044249,0.58197,0.084108,0.829077,0.082483,0.402863,0.073764,0.690431,0.044753,0.705523,0.039616,0.411047,0.079232
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.672029,0.044249,0.58197,0.084108,0.829077,0.082483,0.402863,0.073764,0.690431,0.044753,0.705523,0.039616,0.411047,0.079232
"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.71087,0.06247,0.631818,0.07869,0.849077,0.08556,0.466673,0.119313,0.730411,0.062742,0.740448,0.062173,0.480895,0.124346
"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.71087,0.06247,0.631818,0.07869,0.849077,0.08556,0.466673,0.119313,0.730411,0.062742,0.740448,0.062173,0.480895,0.124346
"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.680642,0.048028,0.563889,0.088892,0.884769,0.076974,0.444471,0.075079,0.702118,0.049932,0.724329,0.041619,0.448658,0.083239
"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.680642,0.048028,0.563889,0.088892,0.884769,0.076974,0.444471,0.075079,0.702118,0.049932,0.724329,0.041619,0.448658,0.083239
"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.715238,0.06384,0.631667,0.093003,0.860923,0.080599,0.479451,0.111693,0.734325,0.064111,0.746295,0.059583,0.49259,0.119165
"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.715238,0.06384,0.631667,0.093003,0.860923,0.080599,0.479451,0.111693,0.734325,0.064111,0.746295,0.059583,0.49259,0.119165
"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.679193,0.058089,0.557222,0.082088,0.892769,0.067117,0.444591,0.101964,0.702906,0.060718,0.724996,0.054379,0.449991,0.108758
"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.679193,0.058089,0.557222,0.082088,0.892769,0.067117,0.444591,0.101964,0.702906,0.060718,0.724996,0.054379,0.449991,0.108758
"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.710828,0.064259,0.613687,0.089246,0.880769,0.062186,0.481791,0.109595,0.733031,0.064173,0.747228,0.058533,0.494456,0.117065
"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.710828,0.064259,0.613687,0.089246,0.880769,0.062186,0.481791,0.109595,0.733031,0.064173,0.747228,0.058533,0.494456,0.117065
"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.676398,0.05555,0.550505,0.090957,0.896615,0.069792,0.444617,0.088703,0.698822,0.058753,0.72356,0.048911,0.44712,0.097821
"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.676398,0.05555,0.550505,0.090957,0.896615,0.069792,0.444617,0.088703,0.698822,0.058753,0.72356,0.048911,0.44712,0.097821
"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.706563,0.069029,0.597929,0.097625,0.896308,0.076417,0.48538,0.120154,0.728989,0.07018,0.747118,0.063668,0.494237,0.127335
