params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.669921,0.054645,0.609123,0.079046,0.752805,0.066877,0.360863,0.105087,0.675189,0.054133,0.680964,0.053011,0.361928,0.106021
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.669921,0.054645,0.609123,0.079046,0.752805,0.066877,0.360863,0.105087,0.675189,0.054133,0.680964,0.053011,0.361928,0.106021
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.705155,0.052076,0.679351,0.080159,0.740366,0.031839,0.416281,0.094562,0.708064,0.049512,0.709858,0.047739,0.419717,0.095478
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.705155,0.052076,0.679351,0.080159,0.740366,0.031839,0.416281,0.094562,0.708064,0.049512,0.709858,0.047739,0.419717,0.095478
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.680262,0.061197,0.589383,0.102411,0.803902,0.058976,0.395592,0.107736,0.684903,0.063036,0.696643,0.055869,0.393286,0.111737
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.680262,0.061197,0.589383,0.102411,0.803902,0.058976,0.395592,0.107736,0.684903,0.063036,0.696643,0.055869,0.393286,0.111737
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.712436,0.062297,0.657857,0.094717,0.786829,0.037472,0.442141,0.111255,0.717836,0.060115,0.722343,0.056872,0.444686,0.113745
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.712436,0.062297,0.657857,0.094717,0.786829,0.037472,0.442141,0.111255,0.717836,0.060115,0.722343,0.056872,0.444686,0.113745
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.702073,0.068808,0.591234,0.107594,0.852988,0.048647,0.448784,0.120685,0.707165,0.07224,0.722111,0.063078,0.444222,0.126155
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.702073,0.068808,0.591234,0.107594,0.852988,0.048647,0.448784,0.120685,0.707165,0.07224,0.722111,0.063078,0.444222,0.126155
"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.739487,0.057279,0.657857,0.087646,0.85061,0.052524,0.508148,0.104136,0.746225,0.056798,0.754233,0.05347,0.508467,0.10694
"{'classifier__n_neighbors': 5, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.739487,0.057279,0.657857,0.087646,0.85061,0.052524,0.508148,0.104136,0.746225,0.056798,0.754233,0.05347,0.508467,0.10694
"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.707259,0.058284,0.57487,0.094016,0.887317,0.037923,0.471709,0.099236,0.711766,0.063056,0.731094,0.05307,0.462187,0.106141
"{'classifier__n_neighbors': 7, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.707259,0.058284,0.57487,0.094016,0.887317,0.037923,0.471709,0.099236,0.711766,0.063056,0.731094,0.05307,0.462187,0.106141
"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.740518,0.056326,0.650552,0.081919,0.862927,0.057655,0.514188,0.104197,0.747614,0.056567,0.756739,0.053689,0.513479,0.107377
"{'classifier__n_neighbors': 7, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.740518,0.056326,0.650552,0.081919,0.862927,0.057655,0.514188,0.104197,0.747614,0.056567,0.756739,0.053689,0.513479,0.107377
"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.699989,0.051438,0.555,0.07808,0.897134,0.037304,0.464956,0.090616,0.704024,0.055618,0.726067,0.047843,0.452134,0.095686
"{'classifier__n_neighbors': 9, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.699989,0.051438,0.555,0.07808,0.897134,0.037304,0.464956,0.090616,0.704024,0.055618,0.726067,0.047843,0.452134,0.095686
"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.741559,0.040939,0.645195,0.068274,0.872622,0.052045,0.51968,0.074114,0.748697,0.041804,0.758908,0.038525,0.517817,0.07705
"{'classifier__n_neighbors': 9, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.741559,0.040939,0.645195,0.068274,0.872622,0.052045,0.51968,0.074114,0.748697,0.041804,0.758908,0.038525,0.517817,0.07705
"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.697949,0.044875,0.551461,0.063299,0.897134,0.04457,0.462098,0.08321,0.702238,0.047988,0.724298,0.04303,0.448595,0.086061
"{'classifier__n_neighbors': 11, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.697949,0.044875,0.551461,0.063299,0.897134,0.04457,0.462098,0.08321,0.702238,0.047988,0.724298,0.04303,0.448595,0.086061
"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.738413,0.041204,0.634383,0.067288,0.879939,0.051721,0.517585,0.075017,0.745553,0.042291,0.757161,0.038864,0.514322,0.077728
"{'classifier__n_neighbors': 11, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.738413,0.041204,0.634383,0.067288,0.879939,0.051721,0.517585,0.075017,0.745553,0.042291,0.757161,0.038864,0.514322,0.077728
"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.704145,0.047653,0.556851,0.065873,0.904451,0.045498,0.475157,0.088916,0.70855,0.050677,0.730651,0.045667,0.461302,0.091334
"{'classifier__n_neighbors': 13, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.704145,0.047653,0.556851,0.065873,0.904451,0.045498,0.475157,0.088916,0.70855,0.050677,0.730651,0.045667,0.461302,0.091334
"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.723862,0.040631,0.610844,0.055136,0.8775,0.051175,0.492953,0.078728,0.731178,0.041967,0.744172,0.039979,0.488344,0.079957
"{'classifier__n_neighbors': 13, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.723862,0.040631,0.610844,0.055136,0.8775,0.051175,0.492953,0.078728,0.731178,0.041967,0.744172,0.039979,0.488344,0.079957
"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.710352,0.04105,0.563994,0.061298,0.909329,0.034551,0.486806,0.072372,0.715074,0.044839,0.736661,0.038482,0.473323,0.076964
"{'classifier__n_neighbors': 15, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.710352,0.04105,0.563994,0.061298,0.909329,0.034551,0.486806,0.072372,0.715074,0.044839,0.736661,0.038482,0.473323,0.076964
"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.737382,0.04948,0.627208,0.066907,0.887256,0.053771,0.518226,0.093575,0.744838,0.050979,0.757232,0.047818,0.514464,0.095635
"{'classifier__n_neighbors': 15, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.737382,0.04948,0.627208,0.066907,0.887256,0.053771,0.518226,0.093575,0.744838,0.050979,0.757232,0.047818,0.514464,0.095635
"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.70204,0.041717,0.545909,0.061667,0.914207,0.029408,0.47646,0.072952,0.705441,0.04624,0.730058,0.039021,0.460116,0.078041
"{'classifier__n_neighbors': 17, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.70204,0.041717,0.545909,0.061667,0.914207,0.029408,0.47646,0.072952,0.705441,0.04624,0.730058,0.039021,0.460116,0.078041
"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.736319,0.042511,0.621721,0.058022,0.892073,0.051814,0.518643,0.081151,0.74369,0.044296,0.756897,0.041486,0.513794,0.082971
"{'classifier__n_neighbors': 17, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.736319,0.042511,0.621721,0.058022,0.892073,0.051814,0.518643,0.081151,0.74369,0.044296,0.756897,0.041486,0.513794,0.082971
"{'classifier__n_neighbors': 19, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.699979,0.047889,0.542435,0.064482,0.914268,0.043943,0.473613,0.089411,0.703097,0.052774,0.728352,0.04606,0.456703,0.09212
"{'classifier__n_neighbors': 19, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.699979,0.047889,0.542435,0.064482,0.914268,0.043943,0.473613,0.089411,0.703097,0.052774,0.728352,0.04606,0.456703,0.09212
"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.728007,0.048311,0.607175,0.060921,0.892073,0.05295,0.505443,0.093562,0.735133,0.049625,0.749624,0.047409,0.499248,0.094819
"{'classifier__n_neighbors': 19, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.728007,0.048311,0.607175,0.060921,0.892073,0.05295,0.505443,0.093562,0.735133,0.049625,0.749624,0.047409,0.499248,0.094819
"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.697895,0.048384,0.538701,0.067311,0.914268,0.043943,0.470537,0.088573,0.700508,0.053591,0.726485,0.046354,0.45297,0.092707
"{'classifier__n_neighbors': 21, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.697895,0.048384,0.538701,0.067311,0.914268,0.043943,0.470537,0.088573,0.700508,0.053591,0.726485,0.046354,0.45297,0.092707
"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.728028,0.047015,0.603701,0.060736,0.896951,0.051411,0.507818,0.090189,0.734949,0.048597,0.750326,0.045756,0.500653,0.091512
"{'classifier__n_neighbors': 21, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.728028,0.047015,0.603701,0.060736,0.896951,0.051411,0.507818,0.090189,0.734949,0.048597,0.750326,0.045756,0.500653,0.091512
"{'classifier__n_neighbors': 23, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.704134,0.039744,0.549643,0.056831,0.914268,0.038146,0.480141,0.072293,0.707881,0.044154,0.731956,0.037859,0.463911,0.075718
"{'classifier__n_neighbors': 23, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.704134,0.039744,0.549643,0.056831,0.914268,0.038146,0.480141,0.072293,0.707881,0.044154,0.731956,0.037859,0.463911,0.075718
"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.729038,0.038685,0.603636,0.046959,0.89939,0.046136,0.510277,0.076542,0.736279,0.039467,0.751513,0.038249,0.503027,0.076497
"{'classifier__n_neighbors': 23, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.729038,0.038685,0.603636,0.046959,0.89939,0.046136,0.510277,0.076542,0.736279,0.039467,0.751513,0.038249,0.503027,0.076497
"{'classifier__n_neighbors': 25, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.701009,0.035669,0.537078,0.051095,0.924024,0.036974,0.480975,0.065944,0.70357,0.039774,0.730551,0.03397,0.461102,0.067939
"{'classifier__n_neighbors': 25, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.701009,0.035669,0.537078,0.051095,0.924024,0.036974,0.480975,0.065944,0.70357,0.039774,0.730551,0.03397,0.461102,0.067939
"{'classifier__n_neighbors': 25, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.726976,0.04605,0.598279,0.057669,0.90189,0.048092,0.508203,0.088587,0.733844,0.047581,0.750085,0.044881,0.500169,0.089763
"{'classifier__n_neighbors': 25, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.726976,0.04605,0.598279,0.057669,0.90189,0.048092,0.508203,0.088587,0.733844,0.047581,0.750085,0.044881,0.500169,0.089763
"{'classifier__n_neighbors': 27, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.696875,0.043628,0.52987,0.067615,0.924024,0.035328,0.474811,0.075078,0.698162,0.050222,0.726947,0.040307,0.453895,0.080614
"{'classifier__n_neighbors': 27, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.696875,0.043628,0.52987,0.067615,0.924024,0.035328,0.474811,0.075078,0.698162,0.050222,0.726947,0.040307,0.453895,0.080614
"{'classifier__n_neighbors': 27, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.72907,0.045583,0.603766,0.057607,0.89939,0.044828,0.510156,0.086708,0.736221,0.046957,0.751578,0.043979,0.503156,0.087958
"{'classifier__n_neighbors': 27, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.72907,0.045583,0.603766,0.057607,0.89939,0.044828,0.510156,0.086708,0.736221,0.046957,0.751578,0.043979,0.503156,0.087958
