params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 20}",0.808248,0.063619,0.811998,0.058307,0.801846,0.113665,0.602909,0.136523,0.804922,0.07203,0.806922,0.07124,0.613844,0.14248
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 30}",0.816901,0.053461,0.821089,0.066766,0.809538,0.063121,0.620921,0.104764,0.814336,0.051687,0.815314,0.051635,0.630627,0.103271
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 40}",0.814024,0.051242,0.825634,0.064036,0.793846,0.071937,0.612067,0.101568,0.80831,0.051306,0.80974,0.051036,0.61948,0.102071
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.821313,0.055626,0.834831,0.061165,0.797692,0.076204,0.625489,0.114408,0.815115,0.057168,0.816262,0.057084,0.632523,0.114168
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 60}",0.818436,0.05783,0.832558,0.058614,0.793846,0.080342,0.618884,0.120198,0.812154,0.060565,0.813202,0.060353,0.626404,0.120706
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 70}",0.824233,0.054584,0.837209,0.063814,0.801692,0.073003,0.632021,0.108717,0.818193,0.055485,0.819451,0.054932,0.638902,0.109864
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 80}",0.821334,0.05513,0.841808,0.062119,0.785692,0.071607,0.622944,0.110854,0.812383,0.056153,0.81375,0.055724,0.6275,0.111448
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 90}",0.816986,0.05955,0.839535,0.063346,0.777692,0.078196,0.613094,0.121634,0.80717,0.06146,0.808614,0.061092,0.617227,0.122185
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.818457,0.065896,0.837262,0.06118,0.785538,0.091753,0.616483,0.137901,0.8102,0.070632,0.8114,0.069974,0.622801,0.139948
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 110}",0.821377,0.058734,0.839535,0.055524,0.789538,0.084132,0.622674,0.123351,0.813412,0.062776,0.814537,0.062514,0.629073,0.125029
