params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.79075,0.064543,0.722357,0.086176,0.908615,0.066994,0.611486,0.114093,0.808465,0.062943,0.815486,0.059955,0.630973,0.119911
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.779135,0.062678,0.694767,0.085519,0.924462,0.052092,0.600683,0.106507,0.799979,0.060725,0.809614,0.05649,0.619229,0.112979
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.617668,0.055079,0.405497,0.096362,0.984,0.036661,0.428666,0.066511,0.62665,0.068005,0.694748,0.042549,0.389497,0.085099
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.549318,0.052718,0.297992,0.093928,0.984,0.036661,0.345624,0.058149,0.533972,0.076589,0.640996,0.037756,0.281992,0.075512
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.798018,0.060913,0.738319,0.071003,0.900615,0.078498,0.618372,0.117952,0.814285,0.061205,0.819467,0.061101,0.638935,0.122202
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.783461,0.067539,0.706131,0.093263,0.916615,0.055049,0.604064,0.114029,0.802791,0.064988,0.811373,0.060461,0.622746,0.120922
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.582673,0.072153,0.357611,0.141479,0.972308,0.061845,0.382457,0.063951,0.575636,0.094134,0.664959,0.047067,0.329919,0.094134
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.582673,0.072153,0.357611,0.141479,0.972308,0.061845,0.382457,0.063951,0.575636,0.094134,0.664959,0.047067,0.329919,0.094134
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.582673,0.072153,0.357611,0.141479,0.972308,0.061845,0.382457,0.063951,0.575636,0.094134,0.664959,0.047067,0.329919,0.094134
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.582673,0.072153,0.357611,0.141479,0.972308,0.061845,0.382457,0.063951,0.575636,0.094134,0.664959,0.047067,0.329919,0.094134
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.582673,0.072153,0.357611,0.141479,0.972308,0.061845,0.382457,0.063951,0.575636,0.094134,0.664959,0.047067,0.329919,0.094134
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.582673,0.072153,0.357611,0.141479,0.972308,0.061845,0.382457,0.063951,0.575636,0.094134,0.664959,0.047067,0.329919,0.094134
