params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.79367,0.059249,0.729228,0.07737,0.904615,0.059842,0.613485,0.10589,0.810988,0.057558,0.816922,0.055348,0.633844,0.110697
"{'classifier__C': 0.1, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.783461,0.062701,0.706184,0.081134,0.916462,0.057974,0.602981,0.110456,0.803274,0.061374,0.811323,0.058295,0.622645,0.116591
"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.732651,0.047289,0.603224,0.068359,0.956308,0.045463,0.552389,0.077309,0.75811,0.047886,0.779766,0.041992,0.559532,0.083983
"{'classifier__C': 0.1, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.704945,0.048094,0.554863,0.074819,0.964308,0.041736,0.521586,0.072128,0.729524,0.050425,0.759585,0.040986,0.51917,0.081972
"{'classifier__C': 0.1, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.622038,0.052234,0.412526,0.085566,0.984,0.036661,0.433098,0.070037,0.63321,0.064866,0.698263,0.042247,0.396526,0.084494
"{'classifier__C': 0.1, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.547975,0.044025,0.295825,0.075025,0.984,0.036661,0.343159,0.058407,0.53434,0.066306,0.639912,0.033989,0.279825,0.067978
"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.53052,0.046315,0.268235,0.080689,0.984,0.036661,0.320989,0.060063,0.507284,0.071906,0.626117,0.035298,0.252235,0.070595
"{'classifier__C': 0.1, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.53052,0.046315,0.268235,0.080689,0.984,0.036661,0.320989,0.060063,0.507284,0.071906,0.626117,0.035298,0.252235,0.070595
"{'classifier__C': 0.1, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.53052,0.046315,0.268235,0.080689,0.984,0.036661,0.320989,0.060063,0.507284,0.071906,0.626117,0.035298,0.252235,0.070595
"{'classifier__C': 0.1, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.529071,0.044016,0.265962,0.07759,0.984,0.036661,0.319306,0.057121,0.505428,0.069118,0.624981,0.033243,0.249962,0.066487
"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.5276,0.043236,0.263636,0.07681,0.984,0.036661,0.317532,0.055756,0.503271,0.068026,0.623818,0.032502,0.247636,0.065005
