params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 20}",0.754099,0.048211,0.789848,0.051559,0.69,0.133244,0.476843,0.114492,0.733453,0.068995,0.739924,0.062947,0.479848,0.125895
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 30}",0.762712,0.054076,0.803485,0.05951,0.69,0.115003,0.492745,0.119565,0.741152,0.067848,0.746742,0.062806,0.493485,0.125612
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 40}",0.76,0.062711,0.794646,0.065175,0.698,0.119708,0.489633,0.139683,0.741404,0.076185,0.746323,0.071096,0.492646,0.142193
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.759896,0.049067,0.792222,0.05091,0.702,0.126214,0.49,0.115467,0.741538,0.068959,0.747111,0.062269,0.494222,0.124538
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 60}",0.75853,0.049745,0.794596,0.054104,0.694154,0.109412,0.485332,0.113178,0.739451,0.06533,0.744375,0.058875,0.48875,0.117749
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 70}",0.770021,0.051609,0.808131,0.052987,0.702,0.1114,0.50775,0.117185,0.750025,0.068191,0.755066,0.061189,0.510131,0.122378
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 80}",0.771429,0.057653,0.808081,0.054131,0.705846,0.136104,0.511426,0.134462,0.750761,0.078857,0.756963,0.071439,0.513927,0.142879
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 90}",0.775776,0.061341,0.814899,0.054454,0.706,0.138195,0.519334,0.141774,0.75416,0.082418,0.760449,0.075043,0.520899,0.150086
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.774348,0.062251,0.814899,0.05153,0.702154,0.134554,0.515082,0.14257,0.752546,0.082953,0.758526,0.075508,0.517053,0.151016
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 110}",0.777246,0.063613,0.814949,0.052376,0.71,0.129592,0.522204,0.144347,0.757411,0.081403,0.762475,0.07567,0.524949,0.15134
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.765735,0.061467,0.80596,0.05546,0.694,0.114096,0.497599,0.137455,0.745334,0.075469,0.74998,0.070459,0.49996,0.140917
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 130}",0.768634,0.064799,0.808283,0.054291,0.698,0.118364,0.503645,0.145738,0.748696,0.07914,0.753141,0.074518,0.506283,0.149036
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 140}",0.771511,0.063573,0.810505,0.053445,0.702154,0.11243,0.509814,0.141297,0.752323,0.076428,0.756329,0.072387,0.512659,0.144774
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.77,0.055372,0.812626,0.04773,0.694154,0.112299,0.505276,0.125127,0.74849,0.070489,0.75339,0.065434,0.50678,0.130868
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 160}",0.774327,0.059667,0.817172,0.049059,0.698,0.121037,0.513839,0.135737,0.752311,0.077068,0.757586,0.070903,0.515172,0.141805
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 170}",0.774327,0.058652,0.817121,0.051318,0.698,0.121037,0.514154,0.132932,0.752083,0.076029,0.757561,0.069641,0.515121,0.139282
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 180}",0.774369,0.06261,0.817121,0.057038,0.698154,0.123296,0.514557,0.139809,0.752078,0.079048,0.757638,0.072874,0.515275,0.145749
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 190}",0.775797,0.062382,0.819343,0.058474,0.698154,0.125864,0.517574,0.139015,0.752835,0.079154,0.758749,0.072899,0.517497,0.145797
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.780104,0.059271,0.817071,0.057135,0.714154,0.112982,0.529122,0.130266,0.761177,0.072774,0.765612,0.067774,0.531225,0.135548
