params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 20}",0.817225,0.040529,0.843247,0.042744,0.782012,0.06569,0.626916,0.082921,0.811229,0.043261,0.812629,0.042457,0.625259,0.084915
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 30}",0.822423,0.040486,0.846916,0.047434,0.789451,0.059397,0.637968,0.081775,0.816928,0.041796,0.818183,0.041282,0.636367,0.082565
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 40}",0.829736,0.041635,0.861461,0.045769,0.78689,0.07148,0.652594,0.087163,0.822283,0.044487,0.824176,0.043901,0.648351,0.087802
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.833838,0.044403,0.868636,0.043041,0.786829,0.077599,0.660465,0.093458,0.825664,0.048319,0.827733,0.047562,0.655466,0.095124
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 60}",0.836963,0.045279,0.877662,0.047814,0.78189,0.077848,0.667008,0.094945,0.827202,0.049037,0.829776,0.047988,0.659553,0.095975
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 70}",0.836942,0.043193,0.883019,0.041813,0.774634,0.080012,0.666527,0.090932,0.825819,0.048178,0.828827,0.046666,0.657654,0.093331
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 80}",0.839025,0.044007,0.881234,0.042493,0.781951,0.082045,0.671024,0.092863,0.828822,0.048963,0.831592,0.047596,0.663185,0.095192
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 90}",0.833817,0.037933,0.875812,0.038673,0.777073,0.075174,0.660188,0.079678,0.823768,0.042719,0.826442,0.04137,0.652885,0.082741
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.837994,0.044707,0.879448,0.047321,0.781951,0.076024,0.669022,0.093933,0.828138,0.048151,0.8307,0.047196,0.661399,0.094393
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 110}",0.844212,0.048873,0.886656,0.052454,0.786829,0.074984,0.681815,0.101668,0.834228,0.051545,0.836743,0.050661,0.673485,0.101323
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.845243,0.047629,0.886623,0.046723,0.789268,0.077473,0.683577,0.099423,0.835524,0.051326,0.837946,0.050218,0.675892,0.100435
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 130}",0.84215,0.046034,0.881266,0.048729,0.789268,0.077473,0.677755,0.096329,0.832839,0.049521,0.835267,0.048506,0.670535,0.097013
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 140}",0.840067,0.045915,0.879448,0.048674,0.786829,0.077327,0.673467,0.096163,0.830691,0.049334,0.833139,0.048372,0.666277,0.096745
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.844212,0.043717,0.883019,0.042596,0.791707,0.076771,0.681568,0.091929,0.835052,0.047926,0.837363,0.046746,0.674727,0.093493
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 160}",0.846306,0.0474,0.884838,0.046105,0.794207,0.079791,0.685971,0.099074,0.837203,0.051513,0.839522,0.050317,0.679045,0.100635
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 170}",0.845264,0.049089,0.884805,0.046163,0.791768,0.081277,0.683622,0.102488,0.835927,0.053342,0.838287,0.052093,0.676573,0.104187
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 180}",0.844233,0.052785,0.881234,0.049431,0.794146,0.082986,0.681514,0.110267,0.835551,0.05662,0.83769,0.055621,0.67538,0.111242
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 190}",0.845253,0.050862,0.884805,0.046163,0.791707,0.080074,0.68322,0.106402,0.836066,0.054802,0.838256,0.05373,0.676513,0.107459
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.846284,0.050099,0.888377,0.043826,0.789329,0.084797,0.685491,0.104731,0.836298,0.054907,0.838853,0.053583,0.677706,0.107166
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 210}",0.843192,0.051641,0.883019,0.051529,0.789329,0.084797,0.680015,0.108472,0.833625,0.055472,0.836174,0.054483,0.672349,0.108965
