params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.811594,0.047401,0.798889,0.055759,0.832923,0.084072,0.616415,0.099037,0.814224,0.051071,0.815906,0.051205,0.631812,0.10241
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.811532,0.044023,0.783081,0.054622,0.860615,0.086691,0.625318,0.093216,0.81922,0.047385,0.821848,0.048398,0.643696,0.096795
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.762609,0.053316,0.701616,0.074444,0.868769,0.064974,0.551367,0.095045,0.779098,0.052095,0.785193,0.050229,0.570385,0.100459
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.741056,0.045273,0.667879,0.06861,0.868769,0.051201,0.518995,0.076371,0.760234,0.044349,0.768324,0.040958,0.536648,0.081916
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.709524,0.045652,0.607121,0.079705,0.888615,0.046827,0.484856,0.065771,0.732027,0.045774,0.747868,0.036979,0.495737,0.073958
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.469234,0.058257,0.171414,0.096907,0.992,0.016,0.240538,0.087644,0.390433,0.130804,0.581707,0.04652,0.163414,0.093039
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.392795,0.059186,0.049394,0.09918,0.996,0.012,0.058962,0.118127,0.09827,0.196648,0.522697,0.045394,0.045394,0.090788
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.392795,0.059186,0.049394,0.09918,0.996,0.012,0.058962,0.118127,0.09827,0.196648,0.522697,0.045394,0.045394,0.090788
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.392795,0.059186,0.049394,0.09918,0.996,0.012,0.058962,0.118127,0.09827,0.196648,0.522697,0.045394,0.045394,0.090788
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.392795,0.059186,0.049394,0.09918,0.996,0.012,0.058962,0.118127,0.09827,0.196648,0.522697,0.045394,0.045394,0.090788
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.392795,0.059186,0.049394,0.09918,0.996,0.012,0.058962,0.118127,0.09827,0.196648,0.522697,0.045394,0.045394,0.090788
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.392795,0.059186,0.049394,0.09918,0.996,0.012,0.058962,0.118127,0.09827,0.196648,0.522697,0.045394,0.045394,0.090788
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.802919,0.043677,0.81697,0.049736,0.777385,0.070279,0.585712,0.09097,0.795926,0.046361,0.797177,0.046122,0.594354,0.092244
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.818799,0.045845,0.807929,0.05824,0.836769,0.094227,0.630512,0.097123,0.820021,0.052083,0.822349,0.051146,0.644699,0.102293
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.787143,0.055261,0.744747,0.059921,0.860615,0.095474,0.585555,0.115481,0.798963,0.059222,0.802681,0.060253,0.605363,0.120505
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.758282,0.05113,0.694848,0.07476,0.868615,0.062622,0.545022,0.08963,0.775128,0.049488,0.781732,0.047285,0.563464,0.09457
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.706625,0.044615,0.607071,0.071188,0.880769,0.044126,0.47569,0.070401,0.729492,0.044708,0.74392,0.038574,0.48784,0.077148
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.384141,0.030283,0.033687,0.049184,1.0,0.0,0.074795,0.086213,0.120894,0.138099,0.516843,0.024592,0.033687,0.049184
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.378385,0.031608,0.024646,0.051369,1.0,0.0,0.043544,0.088166,0.069592,0.140725,0.512323,0.025684,0.024646,0.051369
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.378385,0.031608,0.024646,0.051369,1.0,0.0,0.043544,0.088166,0.069592,0.140725,0.512323,0.025684,0.024646,0.051369
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.378385,0.031608,0.024646,0.051369,1.0,0.0,0.043544,0.088166,0.069592,0.140725,0.512323,0.025684,0.024646,0.051369
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.378385,0.031608,0.024646,0.051369,1.0,0.0,0.043544,0.088166,0.069592,0.140725,0.512323,0.025684,0.024646,0.051369
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.378385,0.031608,0.024646,0.051369,1.0,0.0,0.043544,0.088166,0.069592,0.140725,0.512323,0.025684,0.024646,0.051369
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.378385,0.031608,0.024646,0.051369,1.0,0.0,0.043544,0.088166,0.069592,0.140725,0.512323,0.025684,0.024646,0.051369
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.778385,0.048482,0.805859,0.035416,0.729538,0.091599,0.528542,0.108559,0.765603,0.058072,0.767699,0.056732,0.535397,0.113465
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.802899,0.046027,0.814747,0.051974,0.781077,0.081553,0.586899,0.097955,0.796332,0.050659,0.797912,0.050033,0.595824,0.100066
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.810124,0.048535,0.773939,0.064257,0.872615,0.085771,0.627558,0.097355,0.819898,0.050517,0.823277,0.05087,0.646555,0.10174
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.77706,0.058309,0.719798,0.077695,0.876615,0.072936,0.576832,0.10719,0.79266,0.057443,0.798207,0.056133,0.596413,0.112266
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.708054,0.044149,0.600253,0.079539,0.896462,0.041224,0.486756,0.060177,0.731103,0.044702,0.748357,0.034783,0.496714,0.069566
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.372629,0.020943,0.015657,0.034584,1.0,0.0,0.033696,0.069528,0.054653,0.112559,0.507828,0.017292,0.015657,0.034584
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.787019,0.050772,0.812626,0.037982,0.741231,0.100775,0.54717,0.114569,0.774595,0.061453,0.776929,0.060121,0.553857,0.120241
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.784203,0.046741,0.803535,0.032441,0.749231,0.109508,0.544295,0.109791,0.773843,0.060065,0.776383,0.058861,0.552766,0.117721
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.817371,0.047542,0.789848,0.059825,0.864615,0.104835,0.637242,0.103191,0.823816,0.054075,0.827232,0.05462,0.654464,0.10924
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.785673,0.054779,0.740202,0.06183,0.864615,0.08657,0.584657,0.111362,0.798606,0.057177,0.802409,0.05792,0.604817,0.115841
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.706625,0.054498,0.595606,0.094824,0.900462,0.045075,0.487546,0.075291,0.729072,0.055099,0.748034,0.043436,0.496068,0.086872
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 5, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.368323,0.012202,0.008939,0.020401,1.0,0.0,0.024913,0.051985,0.040895,0.085246,0.50447,0.0102,0.008939,0.020401
"{'classifier__C': 0.1, 'classifier__degree': 6, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.788509,0.050653,0.817121,0.044722,0.737231,0.099144,0.549578,0.113715,0.774457,0.060269,0.777176,0.058839,0.554352,0.117678
"{'classifier__C': 0.1, 'classifier__degree': 6, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.788509,0.050653,0.817121,0.044722,0.737231,0.099144,0.549578,0.113715,0.774457,0.060269,0.777176,0.058839,0.554352,0.117678
