params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.83386,0.043866,0.818084,0.05866,0.85561,0.051487,0.66909,0.086134,0.835908,0.042891,0.836847,0.042821,0.673694,0.085643
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.828662,0.041401,0.801818,0.050231,0.865305,0.05492,0.661227,0.082815,0.832346,0.04123,0.833562,0.041546,0.667123,0.083091
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.81512,0.043998,0.780097,0.051759,0.862744,0.053995,0.636591,0.087381,0.819861,0.043789,0.821421,0.04395,0.642841,0.087899
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.80683,0.047118,0.767565,0.053085,0.860244,0.057318,0.621564,0.093979,0.812096,0.046993,0.813904,0.047259,0.627809,0.094517
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.772562,0.035092,0.713571,0.05028,0.852927,0.058962,0.562517,0.070159,0.779032,0.035371,0.783249,0.035502,0.566498,0.071003
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.50261,0.024398,0.140649,0.039611,0.995122,0.009756,0.24137,0.045422,0.36984,0.056252,0.567886,0.020187,0.135771,0.040374
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.806862,0.042149,0.830779,0.059345,0.774451,0.026943,0.606484,0.083349,0.801791,0.038767,0.802615,0.039357,0.60523,0.078713
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.836974,0.047013,0.82711,0.063993,0.85061,0.054148,0.674331,0.093158,0.837943,0.045557,0.83886,0.045769,0.67772,0.091539
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.820339,0.040605,0.785487,0.051123,0.867744,0.054891,0.647199,0.080737,0.824899,0.040613,0.826615,0.040742,0.653231,0.081484
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.816162,0.045262,0.781851,0.052461,0.862805,0.058249,0.638501,0.090409,0.820739,0.045396,0.822328,0.045617,0.644656,0.091233
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.792311,0.03841,0.747792,0.0494,0.852988,0.068287,0.596021,0.079609,0.79748,0.039062,0.80039,0.039964,0.60078,0.079929
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.428866,0.009014,0.009026,0.012052,1.0,0.0,0.03899,0.048736,0.05935,0.074186,0.504513,0.006026,0.009026,0.012052
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__degree': 4, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.766377,0.033779,0.783994,0.04367,0.742683,0.045106,0.52532,0.067033,0.762492,0.033834,0.763338,0.033551,0.526676,0.067102
