params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.755507,0.033944,0.783131,0.05347,0.705846,0.085017,0.483969,0.072894,0.74094,0.041556,0.744489,0.038675,0.488977,0.07735
"{'classifier__C': 0.1, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.761201,0.046834,0.733333,0.058433,0.809077,0.087901,0.525431,0.095851,0.768301,0.051374,0.771205,0.050859,0.54241,0.101718
"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.739607,0.044272,0.674697,0.062922,0.852769,0.072154,0.510164,0.084869,0.756779,0.044559,0.763733,0.044278,0.527466,0.088556
"{'classifier__C': 0.1, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.730994,0.042468,0.654444,0.061733,0.864769,0.060297,0.502645,0.077616,0.75084,0.04191,0.759607,0.040598,0.519214,0.081196
"{'classifier__C': 0.1, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.716646,0.044906,0.631818,0.070663,0.864769,0.065389,0.482499,0.078417,0.737007,0.045594,0.748294,0.04193,0.496587,0.083861
"{'classifier__C': 0.1, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.679275,0.053157,0.543889,0.094247,0.916462,0.045618,0.4599,0.068453,0.702237,0.056424,0.730175,0.040916,0.46035,0.081832
"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.49648,0.073786,0.214141,0.122309,0.992,0.016,0.279528,0.095797,0.438589,0.137933,0.603071,0.057295,0.206141,0.114589
"{'classifier__C': 0.1, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.424472,0.088165,0.098939,0.144893,0.996,0.012,0.143168,0.142266,0.224757,0.216182,0.54747,0.068102,0.094939,0.136205
"{'classifier__C': 0.1, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.408613,0.090851,0.074091,0.14877,0.996,0.012,0.078517,0.157049,0.120355,0.240843,0.535045,0.070123,0.070091,0.140247
"{'classifier__C': 0.1, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.408613,0.090851,0.074091,0.14877,0.996,0.012,0.078517,0.157049,0.120355,0.240843,0.535045,0.070123,0.070091,0.140247
