params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.799549,0.034367,0.801688,0.044729,0.796524,0.059231,0.595698,0.070236,0.798166,0.035637,0.799106,0.035561,0.598213,0.071121
"{'classifier__C': 0.1, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.804747,0.043709,0.780097,0.049876,0.838171,0.066187,0.61307,0.088912,0.807756,0.04469,0.809134,0.044976,0.618268,0.089952
"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.793342,0.039404,0.751396,0.049321,0.850488,0.067145,0.596865,0.080971,0.798316,0.040191,0.800942,0.040868,0.601884,0.081735
"{'classifier__C': 0.1, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.785019,0.031755,0.738766,0.043464,0.84811,0.062602,0.581992,0.066379,0.790461,0.032793,0.793438,0.03357,0.586876,0.067141
"{'classifier__C': 0.1, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.773593,0.035565,0.715325,0.047546,0.852927,0.061915,0.564117,0.072639,0.780032,0.036291,0.784126,0.036708,0.568252,0.073417
"{'classifier__C': 0.1, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.744566,0.036812,0.625422,0.063319,0.906951,0.038925,0.538608,0.063227,0.751848,0.037489,0.766187,0.033282,0.532373,0.066563
"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.438198,0.012256,0.025227,0.018378,1.0,0.0,0.090923,0.051824,0.138162,0.078349,0.512614,0.009189,0.025227,0.018378
"{'classifier__C': 0.1, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.25, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.819298,0.044952,0.814416,0.050372,0.825915,0.0692,0.636897,0.091247,0.819214,0.046765,0.820165,0.046496,0.64033,0.092992
"{'classifier__C': 0.25, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.820329,0.049563,0.796299,0.061811,0.852988,0.053988,0.643743,0.096601,0.823533,0.049073,0.824643,0.048734,0.649287,0.097468
"{'classifier__C': 0.25, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.817204,0.051349,0.787305,0.058289,0.857805,0.058061,0.63893,0.101456,0.82133,0.05117,0.822555,0.051146,0.64511,0.102292
"{'classifier__C': 0.25, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.812006,0.046322,0.776526,0.051337,0.860244,0.057318,0.630397,0.092574,0.816848,0.046427,0.818385,0.046659,0.63677,0.093319
"{'classifier__C': 0.25, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.802674,0.044994,0.76039,0.050937,0.860244,0.062292,0.614754,0.090961,0.8081,0.045237,0.810317,0.045762,0.620634,0.091523
"{'classifier__C': 0.25, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.783978,0.028822,0.731558,0.04518,0.855366,0.060437,0.582544,0.060028,0.789845,0.02944,0.793462,0.030153,0.586924,0.060307
"{'classifier__C': 0.25, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.745608,0.036209,0.62724,0.062294,0.906951,0.038925,0.540195,0.0623,0.752971,0.036818,0.767096,0.032732,0.534191,0.065463
"{'classifier__C': 0.25, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.705079,0.035582,0.538994,0.073985,0.931463,0.038983,0.493432,0.05226,0.706217,0.039271,0.735228,0.029394,0.470457,0.058787
"{'classifier__C': 0.25, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.518213,0.025489,0.16776,0.041729,0.995122,0.009756,0.268567,0.043458,0.404945,0.053842,0.581441,0.020688,0.162882,0.041376
"{'classifier__C': 0.25, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.25, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.25, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.717569,0.030962,0.558734,0.050947,0.933902,0.028926,0.511108,0.052472,0.721479,0.033347,0.746318,0.027909,0.492636,0.055818
"{'classifier__C': 0.5, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.83489,0.043988,0.830682,0.044152,0.84061,0.055895,0.666912,0.089469,0.835325,0.04501,0.835646,0.045003,0.671292,0.090006
"{'classifier__C': 0.5, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.82863,0.045278,0.808961,0.053045,0.855427,0.052283,0.658694,0.089492,0.831421,0.045112,0.832194,0.045066,0.664388,0.090132
"{'classifier__C': 0.5, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.823454,0.04468,0.790909,0.055723,0.867744,0.054891,0.652617,0.08781,0.827771,0.044468,0.829326,0.044356,0.658653,0.088712
"{'classifier__C': 0.5, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.818267,0.047744,0.785487,0.056499,0.862805,0.059262,0.642297,0.094693,0.822593,0.047746,0.824146,0.047796,0.648292,0.095592
"{'classifier__C': 0.5, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.818245,0.047393,0.787273,0.054402,0.860305,0.054893,0.641278,0.09365,0.82252,0.047282,0.823789,0.047259,0.647578,0.094518
"{'classifier__C': 0.5, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.804757,0.047258,0.763994,0.052429,0.860244,0.057318,0.617909,0.094248,0.810234,0.047237,0.812119,0.047472,0.624237,0.094944
"{'classifier__C': 0.5, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.771521,0.036193,0.709935,0.053028,0.855366,0.057408,0.561552,0.071196,0.778135,0.036306,0.78265,0.036138,0.565301,0.072275
"{'classifier__C': 0.5, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.762189,0.032456,0.688312,0.043954,0.862683,0.058272,0.548385,0.066616,0.769599,0.033253,0.775497,0.033597,0.550995,0.067195
"{'classifier__C': 0.5, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.745619,0.038149,0.628994,0.062725,0.904512,0.041349,0.539008,0.06753,0.753046,0.038875,0.766753,0.035214,0.533506,0.070428
"{'classifier__C': 0.5, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.524442,0.019047,0.178506,0.03028,0.995122,0.009756,0.279494,0.034992,0.419913,0.036044,0.586814,0.015751,0.173628,0.031503
"{'classifier__C': 0.5, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.423679,0.003991,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
"{'classifier__C': 0.5, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.76323,0.034786,0.691916,0.045048,0.860244,0.060102,0.549232,0.071422,0.770533,0.035548,0.77608,0.035983,0.552159,0.071966
"{'classifier__C': 0.75, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.844244,0.045333,0.843312,0.049498,0.845671,0.0517,0.685383,0.091429,0.844206,0.045319,0.844491,0.04547,0.688982,0.09094
"{'classifier__C': 0.75, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.833827,0.042739,0.819805,0.049705,0.852988,0.052874,0.667702,0.085669,0.835768,0.042668,0.836396,0.042883,0.672793,0.085765
"{'classifier__C': 0.75, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.82761,0.041424,0.799935,0.050236,0.865305,0.050402,0.659045,0.08186,0.83148,0.041249,0.83262,0.041263,0.66524,0.082525
"{'classifier__C': 0.75, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.824495,0.043797,0.790909,0.054523,0.870183,0.054752,0.65496,0.085979,0.828934,0.043749,0.830546,0.043558,0.661092,0.087117
"{'classifier__C': 0.75, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.820339,0.04611,0.787305,0.054866,0.865244,0.057297,0.646446,0.091392,0.82474,0.046081,0.826275,0.046125,0.652549,0.09225
"{'classifier__C': 0.75, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.81511,0.045734,0.78013,0.053435,0.862744,0.053995,0.636531,0.090292,0.819903,0.045469,0.821437,0.045504,0.642874,0.091007
"{'classifier__C': 0.75, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.795404,0.035612,0.74776,0.046959,0.860305,0.067528,0.603312,0.074452,0.800866,0.036505,0.804032,0.037422,0.608065,0.074844
"{'classifier__C': 0.75, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.780874,0.030436,0.727987,0.046388,0.852927,0.058962,0.576485,0.062187,0.786842,0.030948,0.790457,0.031405,0.580914,0.06281
"{'classifier__C': 0.75, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.762189,0.032456,0.688312,0.043954,0.862683,0.058272,0.548385,0.066616,0.769599,0.033253,0.775497,0.033597,0.550995,0.067195
"{'classifier__C': 0.75, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.708215,0.034871,0.544416,0.069712,0.931463,0.032307,0.497409,0.050963,0.710192,0.038011,0.737939,0.028856,0.475879,0.057713
"{'classifier__C': 0.75, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.42471,0.004841,0.001786,0.005357,1.0,0.0,0.008733,0.026199,0.013363,0.040089,0.500893,0.002679,0.001786,0.005357
"{'classifier__C': 0.75, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.782947,0.03012,0.729773,0.046169,0.855366,0.06608,0.581183,0.06449,0.788718,0.030759,0.792569,0.032005,0.585139,0.06401
"{'classifier__C': 1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.842171,0.044559,0.843344,0.048043,0.840793,0.056267,0.681016,0.090387,0.841661,0.045026,0.842068,0.045169,0.684137,0.090338
"{'classifier__C': 1, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.834858,0.040811,0.825162,0.044508,0.84811,0.054802,0.66853,0.082949,0.836121,0.04135,0.836636,0.041664,0.673272,0.083327
"{'classifier__C': 1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.829693,0.04087,0.803571,0.050764,0.865305,0.050402,0.662897,0.080949,0.833328,0.040515,0.834438,0.040626,0.668876,0.081251
"{'classifier__C': 1, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.830735,0.041866,0.801753,0.053086,0.870183,0.054752,0.666114,0.083149,0.834578,0.041585,0.835968,0.041746,0.671936,0.083491
"{'classifier__C': 1, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.825537,0.042361,0.792695,0.052229,0.870183,0.054752,0.656709,0.083602,0.829887,0.042489,0.831439,0.042376,0.662878,0.084753
"{'classifier__C': 1, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.817204,0.046234,0.783669,0.052112,0.862805,0.058249,0.640161,0.092305,0.821761,0.046442,0.823237,0.046629,0.646474,0.093259
"{'classifier__C': 1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.802685,0.043726,0.760422,0.048129,0.860244,0.062292,0.614707,0.089044,0.808153,0.044083,0.810333,0.044747,0.620666,0.089494
"{'classifier__C': 1, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.795404,0.035612,0.74776,0.046959,0.860305,0.067528,0.603312,0.074452,0.800866,0.036505,0.804032,0.037422,0.608065,0.074844
"{'classifier__C': 1, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.771521,0.036193,0.709935,0.053028,0.855366,0.057408,0.561552,0.071196,0.778135,0.036306,0.78265,0.036138,0.565301,0.072275
"{'classifier__C': 1, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.743546,0.038906,0.627208,0.06357,0.902073,0.042111,0.534767,0.069142,0.750934,0.039624,0.76464,0.035998,0.529281,0.071996
"{'classifier__C': 1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.447552,0.019134,0.041429,0.032354,1.0,0.0,0.116537,0.068432,0.1759,0.10241,0.520714,0.016177,0.041429,0.032354
"{'classifier__C': 1, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.794373,0.035193,0.74776,0.046959,0.857866,0.067283,0.600902,0.073671,0.799718,0.036028,0.802813,0.036982,0.605626,0.073964
"{'classifier__C': 2.5, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.828662,0.037577,0.843344,0.051368,0.808841,0.043674,0.652136,0.075992,0.825361,0.036241,0.826093,0.036581,0.652186,0.073161
"{'classifier__C': 2.5, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.835911,0.045156,0.834286,0.056092,0.838293,0.050569,0.669484,0.089791,0.835767,0.044325,0.836289,0.044427,0.672578,0.088854
