params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 10}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 20}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 30}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 40}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 50}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 60}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 70}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 80}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 90}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 100}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 110}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 120}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 130}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 140}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 150}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 160}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 170}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 180}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
"{'classifier__learning_rate': 0.001, 'classifier__n_estimators': 190}",0.857604,0.024528,0.907609,0.04295,0.791463,0.046891,0.710775,0.049652,0.846687,0.02513,0.849536,0.024422,0.699073,0.048844
