params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.734211,0.041577,0.70037,0.074929,0.778963,0.068339,0.478057,0.079137,0.736187,0.040561,0.739667,0.039979,0.479334,0.079958
"{'classifier__n_neighbors': 1, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.734211,0.041577,0.70037,0.074929,0.778963,0.068339,0.478057,0.079137,0.736187,0.040561,0.739667,0.039979,0.479334,0.079958
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.746831,0.025807,0.74303,0.058962,0.75189,0.063624,0.493871,0.050037,0.745334,0.026202,0.74746,0.025445,0.494921,0.05089
"{'classifier__n_neighbors': 1, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.746831,0.025807,0.74303,0.058962,0.75189,0.063624,0.493871,0.050037,0.745334,0.026202,0.74746,0.025445,0.494921,0.05089
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.772128,0.03727,0.722593,0.057269,0.837805,0.060084,0.557293,0.072484,0.776711,0.037996,0.780199,0.037262,0.560397,0.074523
"{'classifier__n_neighbors': 3, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.772128,0.03727,0.722593,0.057269,0.837805,0.060084,0.557293,0.072484,0.776711,0.037996,0.780199,0.037262,0.560397,0.074523
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'uniform'}",0.795342,0.0357,0.767003,0.070608,0.832805,0.05975,0.598005,0.067138,0.797224,0.033946,0.799904,0.033403,0.599808,0.066807
"{'classifier__n_neighbors': 3, 'classifier__p': 2, 'classifier__weights': 'distance'}",0.795342,0.0357,0.767003,0.070608,0.832805,0.05975,0.598005,0.067138,0.797224,0.033946,0.799904,0.033403,0.599808,0.066807
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'uniform'}",0.779485,0.044313,0.726296,0.048699,0.850061,0.076607,0.57285,0.091676,0.784531,0.046739,0.788179,0.04689,0.576357,0.09378
"{'classifier__n_neighbors': 5, 'classifier__p': 1, 'classifier__weights': 'distance'}",0.779485,0.044313,0.726296,0.048699,0.850061,0.076607,0.57285,0.091676,0.784531,0.046739,0.788179,0.04689,0.576357,0.09378
