params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 20}",0.849104,0.017548,0.876128,0.038961,0.813293,0.035106,0.693111,0.033217,0.843457,0.016769,0.84471,0.016238,0.689421,0.032477
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 30}",0.844849,0.026888,0.879832,0.050586,0.798415,0.04984,0.684992,0.052414,0.836999,0.027405,0.839123,0.026162,0.678246,0.052323
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 40}",0.846965,0.024298,0.883569,0.047552,0.798476,0.05322,0.68936,0.047919,0.838744,0.025845,0.841022,0.024474,0.682045,0.048948
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 50}",0.849082,0.023214,0.883569,0.047552,0.803415,0.04589,0.693582,0.045442,0.841517,0.023157,0.843492,0.022347,0.686984,0.044693
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 60}",0.852262,0.021027,0.885421,0.048789,0.808415,0.042388,0.700347,0.04058,0.845015,0.01969,0.846918,0.019217,0.693836,0.038435
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 70}",0.853326,0.02168,0.890943,0.04644,0.803537,0.041091,0.702085,0.042761,0.84521,0.020545,0.84724,0.020241,0.694479,0.040481
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 80}",0.849115,0.016759,0.889125,0.044506,0.796159,0.038015,0.69335,0.032772,0.840465,0.014873,0.842642,0.01469,0.685283,0.029381
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 90}",0.850146,0.020979,0.889125,0.044506,0.798476,0.041466,0.695297,0.041463,0.841702,0.020702,0.8438,0.019968,0.6876,0.039936
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 100}",0.849115,0.017448,0.887273,0.043305,0.798598,0.032268,0.693079,0.034127,0.841038,0.014644,0.842935,0.014894,0.68587,0.029787
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 110}",0.850157,0.022419,0.889091,0.046852,0.798537,0.036302,0.695329,0.044074,0.8418,0.020527,0.843814,0.020409,0.687627,0.040818
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 120}",0.848052,0.021622,0.887273,0.052602,0.796098,0.036612,0.691769,0.041746,0.83943,0.018057,0.841685,0.018261,0.68337,0.036522
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 130}",0.849104,0.023053,0.885421,0.050854,0.801037,0.031724,0.693539,0.044685,0.841347,0.019506,0.843229,0.019829,0.686457,0.039657
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 140}",0.849104,0.023053,0.885421,0.050854,0.801037,0.031724,0.693539,0.044685,0.841347,0.019506,0.843229,0.019829,0.686457,0.039657
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 150}",0.852273,0.023438,0.890976,0.050591,0.801037,0.031724,0.699995,0.046671,0.844013,0.019891,0.846007,0.020392,0.692013,0.040783
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 160}",0.853337,0.021597,0.892828,0.047325,0.801037,0.031724,0.701931,0.043419,0.84495,0.01846,0.846932,0.018922,0.693865,0.037845
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 170}",0.85439,0.022295,0.894646,0.046865,0.801037,0.031724,0.703978,0.044706,0.845842,0.019419,0.847842,0.019792,0.695683,0.039584
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 180}",0.85439,0.022295,0.894646,0.046865,0.801037,0.031724,0.703978,0.044706,0.845842,0.019419,0.847842,0.019792,0.695683,0.039584
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 190}",0.852284,0.023332,0.890943,0.049305,0.801037,0.031724,0.69984,0.046311,0.844035,0.020117,0.84599,0.020511,0.691979,0.041022
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 200}",0.852284,0.023332,0.890943,0.049305,0.801037,0.031724,0.69984,0.046311,0.844035,0.020117,0.84599,0.020511,0.691979,0.041022
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 210}",0.852284,0.023332,0.890943,0.049305,0.801037,0.031724,0.69984,0.046311,0.844035,0.020117,0.84599,0.020511,0.691979,0.041022
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 220}",0.852296,0.023737,0.890943,0.052013,0.801037,0.031724,0.700188,0.047149,0.843956,0.0198,0.84599,0.020394,0.691979,0.040787
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 230}",0.853348,0.023494,0.892795,0.052236,0.801037,0.031724,0.702383,0.046514,0.844819,0.019486,0.846916,0.020067,0.693831,0.040134
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 240}",0.853348,0.023494,0.892795,0.052236,0.801037,0.031724,0.702383,0.046514,0.844819,0.019486,0.846916,0.020067,0.693831,0.040134
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 250}",0.853348,0.021004,0.894646,0.049011,0.798537,0.028598,0.702067,0.041992,0.844469,0.016704,0.846592,0.017456,0.693183,0.034912
"{'classifier__criterion': 'gini', 'classifier__max_features': 'sqrt', 'classifier__min_samples_split': 2, 'classifier__n_estimators': 260}",0.853348,0.022033,0.892795,0.048844,0.801037,0.031724,0.70211,0.04416,0.844895,0.018468,0.846916,0.019029,0.693831,0.038059
