params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.828074,0.038202,0.794781,0.052812,0.872378,0.042035,0.661892,0.074051,0.832128,0.037418,0.83358,0.037186,0.667159,0.074373
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.819664,0.038787,0.767037,0.05829,0.889573,0.036584,0.65184,0.072819,0.825388,0.037647,0.828305,0.036844,0.65661,0.073688
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.76785,0.035663,0.702391,0.067544,0.854878,0.036145,0.555232,0.058803,0.773439,0.035599,0.778634,0.031229,0.557269,0.062458
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.075, 'classifier__kernel': 'poly'}",0.661243,0.078201,0.458687,0.16548,0.931463,0.051936,0.432213,0.098789,0.64024,0.101621,0.695075,0.063345,0.39015,0.126689
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.05, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.025, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0075, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.005, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.0025, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 0.001, 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 2, 'classifier__gamma': 'auto', 'classifier__kernel': 'poly'}",0.55458,0.157306,0.259259,0.319894,0.94878,0.064021,0.208708,0.259262,0.300416,0.368833,0.60402,0.129465,0.20804,0.25893
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.5, 'classifier__kernel': 'poly'}",0.837559,0.035906,0.818822,0.052992,0.862439,0.034888,0.676846,0.06897,0.839828,0.034361,0.84063,0.03407,0.681261,0.06814
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.25, 'classifier__kernel': 'poly'}",0.821758,0.029779,0.787374,0.04724,0.867439,0.041362,0.649858,0.05747,0.825747,0.029113,0.827406,0.028974,0.654813,0.057948
"{'classifier__C': 0.1, 'classifier__degree': 3, 'classifier__gamma': 0.1, 'classifier__kernel': 'poly'}",0.740426,0.042646,0.724815,0.124689,0.762378,0.130607,0.496241,0.074622,0.733006,0.046344,0.743596,0.039781,0.487193,0.079562
