params,mean_test_accuracy,std_test_accuracy,mean_test_recall,std_test_recall,mean_test_specificity,std_test_specificity,mean_test_mcc,std_test_mcc,mean_test_gm,std_test_gm,mean_test_uar,std_test_uar,mean_test_bm,std_test_bm
"{'classifier__C': 0.1, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.827044,0.035127,0.781852,0.050361,0.887134,0.034788,0.663422,0.066911,0.832372,0.034244,0.834493,0.033777,0.668986,0.067554
"{'classifier__C': 0.1, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.810179,0.038603,0.748552,0.058894,0.892012,0.033132,0.636341,0.070905,0.816488,0.037893,0.820282,0.036433,0.640564,0.072867
"{'classifier__C': 0.1, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.781601,0.037094,0.693064,0.054867,0.89939,0.035149,0.591889,0.067578,0.788854,0.037488,0.796227,0.035245,0.592454,0.070489
"{'classifier__C': 0.1, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.775241,0.039335,0.680168,0.059988,0.901829,0.034422,0.582863,0.070186,0.782385,0.039829,0.790999,0.036803,0.581998,0.073607
"{'classifier__C': 0.1, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.758331,0.042954,0.632121,0.067187,0.926341,0.034502,0.567249,0.074081,0.76407,0.044957,0.779231,0.039476,0.558463,0.078952
"{'classifier__C': 0.1, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.592755,0.0394,0.299562,0.062296,0.982805,0.024672,0.364544,0.069157,0.539696,0.057401,0.641184,0.034643,0.282367,0.069286
"{'classifier__C': 0.1, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.506159,0.097086,0.142593,0.175105,0.990244,0.022354,0.160823,0.200336,0.23585,0.289258,0.566418,0.082688,0.132836,0.165377
"{'classifier__C': 0.1, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.505106,0.095769,0.140741,0.172967,0.990244,0.022354,0.159385,0.1984,0.234268,0.287336,0.565492,0.0815,0.130985,0.163
"{'classifier__C': 0.1, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.505106,0.095769,0.140741,0.172967,0.990244,0.022354,0.159385,0.1984,0.234268,0.287336,0.565492,0.0815,0.130985,0.163
"{'classifier__C': 0.1, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.505106,0.095769,0.140741,0.172967,0.990244,0.022354,0.159385,0.1984,0.234268,0.287336,0.565492,0.0815,0.130985,0.163
"{'classifier__C': 0.1, 'classifier__gamma': 0.001, 'classifier__kernel': 'rbf'}",0.505106,0.095769,0.140741,0.172967,0.990244,0.022354,0.159385,0.1984,0.234268,0.287336,0.565492,0.0815,0.130985,0.163
"{'classifier__C': 0.1, 'classifier__gamma': 'auto', 'classifier__kernel': 'rbf'}",0.746719,0.046423,0.611852,0.074844,0.926341,0.034502,0.549881,0.077835,0.751323,0.049348,0.769097,0.042031,0.538193,0.084062
"{'classifier__C': 0.25, 'classifier__gamma': 0.5, 'classifier__kernel': 'rbf'}",0.833326,0.035514,0.802189,0.043973,0.874817,0.041583,0.671211,0.070184,0.837366,0.035279,0.838503,0.035285,0.677006,0.07057
"{'classifier__C': 0.25, 'classifier__gamma': 0.25, 'classifier__kernel': 'rbf'}",0.828063,0.033944,0.787374,0.04501,0.882195,0.040703,0.663826,0.066194,0.833,0.033697,0.834784,0.033527,0.669569,0.067053
"{'classifier__C': 0.25, 'classifier__gamma': 0.1, 'classifier__kernel': 'rbf'}",0.809115,0.039883,0.7467,0.059974,0.892012,0.033132,0.634494,0.073077,0.815483,0.03934,0.819356,0.037696,0.638713,0.075392
"{'classifier__C': 0.25, 'classifier__gamma': 0.075, 'classifier__kernel': 'rbf'}",0.806999,0.034736,0.741145,0.052022,0.894451,0.032912,0.631496,0.064089,0.813652,0.034568,0.817798,0.033179,0.635596,0.066359
"{'classifier__C': 0.25, 'classifier__gamma': 0.05, 'classifier__kernel': 'rbf'}",0.800661,0.033948,0.724478,0.048364,0.901829,0.030772,0.623187,0.063097,0.807893,0.033993,0.813154,0.032669,0.626307,0.065337
"{'classifier__C': 0.25, 'classifier__gamma': 0.025, 'classifier__kernel': 'rbf'}",0.766786,0.043082,0.665354,0.065786,0.901829,0.034422,0.569506,0.075834,0.77366,0.044063,0.783591,0.040078,0.567183,0.080156
"{'classifier__C': 0.25, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",0.595913,0.040266,0.30697,0.058605,0.980366,0.026407,0.36613,0.076586,0.546147,0.056575,0.643668,0.036061,0.287336,0.072121
"{'classifier__C': 0.25, 'classifier__gamma': 0.0075, 'classifier__kernel': 'rbf'}",0.528343,0.077283,0.18138,0.140099,0.990244,0.022354,0.263361,0.116295,0.390059,0.16105,0.585812,0.06533,0.171624,0.13066
"{'classifier__C': 0.25, 'classifier__gamma': 0.005, 'classifier__kernel': 'rbf'}",0.505106,0.095769,0.140741,0.172967,0.990244,0.022354,0.159385,0.1984,0.234268,0.287336,0.565492,0.0815,0.130985,0.163
"{'classifier__C': 0.25, 'classifier__gamma': 0.0025, 'classifier__kernel': 'rbf'}",0.505106,0.095769,0.140741,0.172967,0.990244,0.022354,0.159385,0.1984,0.234268,0.287336,0.565492,0.0815,0.130985,0.163
